Model Name,Batch Size,Learning Rate,Phase,Epoch,Loss,Accuracy,Patience Count
SwinV2Model,64,0.05,Train,1,9.234659533,0.266094416,0
SwinV2Model,64,0.05,Validation,1,6.285137759,0.336683422,0
SwinV2Model,64,0.05,Train,2,4.407413106,0.433476388,0
SwinV2Model,64,0.05,Validation,2,2.480444543,0.487437189,0
SwinV2Model,64,0.05,Train,3,2.664346457,0.473175973,0
SwinV2Model,64,0.05,Validation,3,2.087357746,0.522613049,0
SwinV2Model,64,0.05,Train,4,2.433395246,0.493562222,0
SwinV2Model,64,0.05,Validation,4,1.846351798,0.51758796,0
SwinV2Model,64,0.05,Train,5,2.21282928,0.5139485,0
SwinV2Model,64,0.05,Validation,5,1.425075297,0.567839205,0
SwinV2Model,64,0.05,Train,6,1.497184502,0.574034333,0
SwinV2Model,64,0.05,Validation,6,1.240607517,0.643216074,0
SwinV2Model,64,0.05,Train,7,1.137960092,0.644849777,0
SwinV2Model,64,0.05,Validation,7,1.043540375,0.658291459,0
SwinV2Model,64,0.05,Train,8,1.177301351,0.630901277,0
SwinV2Model,64,0.05,Validation,8,1.010135477,0.673366845,0
SwinV2Model,64,0.05,Train,9,1.145047472,0.615879834,0
SwinV2Model,64,0.05,Validation,9,1.043140478,0.628140688,1
SwinV2Model,64,0.05,Train,10,1.044538438,0.642703891,1
SwinV2Model,64,0.05,Validation,10,0.996177136,0.653266311,0
SwinV2Model,64,0.05,Train,11,0.975153542,0.667382002,0
SwinV2Model,64,0.05,Validation,11,0.984545378,0.648241222,0
SwinV2Model,64,0.05,Train,12,0.97225936,0.662017167,0
SwinV2Model,64,0.05,Validation,12,0.970219367,0.663316548,0
SwinV2Model,64,0.05,Train,13,1.027166989,0.654506445,0
SwinV2Model,64,0.05,Validation,13,0.971065068,0.648241222,1
SwinV2Model,64,0.05,Train,14,0.94879736,0.673819721,1
SwinV2Model,64,0.05,Validation,14,0.965202822,0.668341696,0
SwinV2Model,64,0.05,Train,15,0.977996738,0.654506445,0
SwinV2Model,64,0.05,Validation,15,0.965663676,0.663316548,1
SwinV2Model,64,0.05,Train,16,0.976643927,0.679184556,1
SwinV2Model,64,0.05,Validation,16,0.964199741,0.663316548,0
SwinV2Model,64,0.05,Train,17,1.012105205,0.665236056,0
SwinV2Model,64,0.05,Validation,17,0.96216413,0.668341696,0
SwinV2Model,64,0.05,Train,18,1.013268024,0.664163113,0
SwinV2Model,64,0.05,Validation,18,0.960556681,0.668341696,0
SwinV2Model,64,0.05,Train,19,0.957185441,0.666308999,0
SwinV2Model,64,0.05,Validation,19,0.959620007,0.663316548,0
SwinV2Model,64,0.05,Train,20,1.019844825,0.654506445,0
SwinV2Model,64,0.05,Validation,20,0.958245062,0.658291459,0
SwinV2Model,64,0.05,Train,21,1.007695484,0.653433502,0
SwinV2Model,64,0.05,Validation,21,0.958099685,0.658291459,0
SwinV2Model,64,0.05,Train,22,1.031279324,0.646995723,0
SwinV2Model,64,0.05,Validation,22,0.957936592,0.658291459,0
SwinV2Model,64,0.05,Train,23,1.004570736,0.657725334,0
SwinV2Model,64,0.05,Validation,23,0.957823269,0.658291459,0
SwinV2Model,64,0.05,Train,24,0.929075899,0.674892724,0
SwinV2Model,64,0.05,Validation,24,0.957703724,0.658291459,0
SwinV2Model,64,0.05,Train,25,0.988039067,0.670600832,0
SwinV2Model,64,0.05,Validation,25,0.957648646,0.658291459,0
SwinV2Model,64,0.05,Train,26,1.026343598,0.642703891,0
SwinV2Model,64,0.05,Validation,26,0.957634608,0.658291459,0
SwinV2Model,64,0.05,Train,27,0.998265701,0.659871221,0
SwinV2Model,64,0.05,Validation,27,0.957619967,0.658291459,0
SwinV2Model,64,0.05,Train,28,0.977352269,0.643776834,0
SwinV2Model,64,0.05,Validation,28,0.957608277,0.658291459,0
SwinV2Model,64,0.05,Train,29,0.952470916,0.672746778,0
SwinV2Model,64,0.05,Validation,29,0.957596715,0.658291459,0
SwinV2Model,64,0.05,Train,30,0.986241584,0.668454945,0
SwinV2Model,64,0.05,Validation,30,0.957588023,0.658291459,0
SwinV2Model,128,0.05,Train,1,10.66705834,0.212446347,0
SwinV2Model,128,0.05,Validation,1,9.448711736,0.266331643,0
SwinV2Model,128,0.05,Train,2,6.348975464,0.327253222,0
SwinV2Model,128,0.05,Validation,2,6.242269166,0.306532651,0
SwinV2Model,128,0.05,Train,3,4.256626575,0.41309014,0
SwinV2Model,128,0.05,Validation,3,4.168032694,0.341708541,0
SwinV2Model,128,0.05,Train,4,3.01659526,0.428111583,0
SwinV2Model,128,0.05,Validation,4,2.067667367,0.477386922,0
SwinV2Model,128,0.05,Train,5,2.135319783,0.495708168,0
SwinV2Model,128,0.05,Validation,5,2.251606785,0.412060291,1
SwinV2Model,128,0.05,Train,6,2.008318195,0.517167389,1
SwinV2Model,128,0.05,Validation,6,1.477339279,0.603015065,0
SwinV2Model,128,0.05,Train,7,1.587506633,0.543991387,0
SwinV2Model,128,0.05,Validation,7,1.303883125,0.567839205,0
SwinV2Model,128,0.05,Train,8,1.376800372,0.565450668,0
SwinV2Model,128,0.05,Validation,8,1.136778268,0.597989917,0
SwinV2Model,128,0.05,Train,9,1.243649232,0.576180279,0
SwinV2Model,128,0.05,Validation,9,1.062332264,0.633165836,0
SwinV2Model,128,0.05,Train,10,1.159027361,0.63197422,0
SwinV2Model,128,0.05,Validation,10,1.077654613,0.643216074,1
SwinV2Model,128,0.05,Train,11,1.111419514,0.621244609,1
SwinV2Model,128,0.05,Validation,11,1.073534429,0.638190925,2
SwinV2Model,128,0.05,Train,12,1.153708806,0.611588001,2
SwinV2Model,128,0.05,Validation,12,1.065245139,0.633165836,3
SwinV2Model,128,0.05,Train,13,1.201091001,0.592274666,3
SwinV2Model,128,0.05,Validation,13,1.05319851,0.643216074,0
SwinV2Model,128,0.05,Train,14,1.141890873,0.619098723,0
SwinV2Model,128,0.05,Validation,14,1.038125138,0.643216074,0
SwinV2Model,128,0.05,Train,15,1.166077575,0.608369112,0
SwinV2Model,128,0.05,Validation,15,1.025817693,0.648241222,0
SwinV2Model,128,0.05,Train,16,1.191890328,0.598712444,0
SwinV2Model,128,0.05,Validation,16,1.02508443,0.648241222,0
SwinV2Model,128,0.05,Train,17,1.137487541,0.622317612,0
SwinV2Model,128,0.05,Validation,17,1.025147403,0.648241222,1
SwinV2Model,128,0.05,Train,18,1.162164623,0.619098723,1
SwinV2Model,128,0.05,Validation,18,1.024890964,0.648241222,0
SwinV2Model,128,0.05,Train,19,1.137033269,0.61802578,0
SwinV2Model,128,0.05,Validation,19,1.024947422,0.648241222,1
SwinV2Model,128,0.05,Train,20,1.110808923,0.624463499,1
SwinV2Model,128,0.05,Validation,20,1.025364522,0.648241222,2
SwinV2Model,128,0.05,Train,21,1.186539876,0.603004277,2
SwinV2Model,128,0.05,Validation,21,1.025419743,0.648241222,3
SwinV2Model,128,0.05,Train,22,1.15371069,0.61480689,3
SwinV2Model,128,0.05,Validation,22,1.025523372,0.648241222,4
SwinV2Model,128,0.05,Train,23,1.172874893,0.608369112,4
SwinV2Model,128,0.05,Validation,23,1.025707244,0.653266311,5
SwinV2Model,128,0.05,Train,24,1.203914223,0.606223166,5
SwinV2Model,128,0.05,Validation,24,1.025824332,0.653266311,6
SwinV2Model,8,0.01,Train,1,2.549585833,0.337982833,0
SwinV2Model,8,0.01,Validation,1,1.623430068,0.381909549,0
SwinV2Model,8,0.01,Train,2,2.104534702,0.434549361,0
SwinV2Model,8,0.01,Validation,2,1.80040682,0.462311566,1
SwinV2Model,8,0.01,Train,3,1.766873066,0.491416305,1
SwinV2Model,8,0.01,Validation,3,1.908886944,0.432160795,2
SwinV2Model,8,0.01,Train,4,1.948617551,0.497854084,2
SwinV2Model,8,0.01,Validation,4,1.645769227,0.497487426,3
SwinV2Model,8,0.01,Train,5,1.692755793,0.535407722,3
SwinV2Model,8,0.01,Validation,5,1.650607657,0.527638197,4
SwinV2Model,8,0.01,Train,6,1.153932308,0.619098723,4
SwinV2Model,8,0.01,Validation,6,0.958832323,0.648241222,0
SwinV2Model,8,0.01,Train,7,1.003710863,0.657725334,0
SwinV2Model,8,0.01,Validation,7,0.944316245,0.68844223,0
SwinV2Model,8,0.01,Train,8,0.979565058,0.621244609,0
SwinV2Model,8,0.01,Validation,8,0.972247518,0.648241222,1
SwinV2Model,8,0.01,Train,9,0.943639493,0.665236056,1
SwinV2Model,8,0.01,Validation,9,0.92777183,0.648241222,0
SwinV2Model,8,0.01,Train,10,0.900919872,0.662017167,0
SwinV2Model,8,0.01,Validation,10,0.984671544,0.618090451,1
SwinV2Model,8,0.01,Train,11,0.846856165,0.683476388,1
SwinV2Model,8,0.01,Validation,11,0.91019205,0.693467319,0
SwinV2Model,8,0.01,Train,12,0.860146491,0.683476388,0
SwinV2Model,8,0.01,Validation,12,0.895811874,0.698492467,0
SwinV2Model,8,0.01,Train,13,0.873337023,0.675965667,0
SwinV2Model,8,0.01,Validation,13,0.894931747,0.693467319,0
SwinV2Model,8,0.01,Train,14,0.83292898,0.675965667,0
SwinV2Model,8,0.01,Validation,14,0.893168641,0.703517556,0
SwinV2Model,8,0.01,Train,15,0.808502338,0.673819721,0
SwinV2Model,8,0.01,Validation,15,0.901072003,0.68844223,1
SwinV2Model,8,0.01,Train,16,0.817161694,0.692060113,1
SwinV2Model,8,0.01,Validation,16,0.896926002,0.68844223,2
SwinV2Model,8,0.01,Train,17,0.798293098,0.694205999,2
SwinV2Model,8,0.01,Validation,17,0.894315444,0.68844223,3
SwinV2Model,8,0.01,Train,18,0.803498678,0.702789724,3
SwinV2Model,8,0.01,Validation,18,0.891936913,0.693467319,0
SwinV2Model,8,0.01,Train,19,0.869711613,0.675965667,0
SwinV2Model,8,0.01,Validation,19,0.890616031,0.693467319,0
SwinV2Model,8,0.01,Train,20,0.812662944,0.69098711,0
SwinV2Model,8,0.01,Validation,20,0.889191614,0.698492467,0
SwinV2Model,8,0.01,Train,21,0.84900173,0.684549332,0
SwinV2Model,8,0.01,Validation,21,0.889253175,0.698492467,1
SwinV2Model,8,0.01,Train,22,0.846608615,0.692060113,1
SwinV2Model,8,0.01,Validation,22,0.889254403,0.698492467,2
SwinV2Model,8,0.01,Train,23,0.814050402,0.685622334,2
SwinV2Model,8,0.01,Validation,23,0.88918332,0.698492467,0
SwinV2Model,8,0.01,Train,24,0.821650327,0.695278943,0
SwinV2Model,8,0.01,Validation,24,0.889046732,0.698492467,0
SwinV2Model,8,0.01,Train,25,0.834013736,0.680257499,0
SwinV2Model,8,0.01,Validation,25,0.888934271,0.698492467,0
SwinV2Model,8,0.01,Train,26,0.84794166,0.683476388,0
SwinV2Model,8,0.01,Validation,26,0.888930955,0.698492467,0
SwinV2Model,8,0.01,Train,27,0.832004239,0.683476388,0
SwinV2Model,8,0.01,Validation,27,0.888941277,0.698492467,1
SwinV2Model,8,0.01,Train,28,0.839308271,0.67703861,1
SwinV2Model,8,0.01,Validation,28,0.888946028,0.698492467,2
SwinV2Model,8,0.01,Train,29,0.841749062,0.683476388,2
SwinV2Model,8,0.01,Validation,29,0.888926904,0.698492467,0
SwinV2Model,8,0.01,Train,30,0.81364224,0.688841224,0
SwinV2Model,8,0.01,Validation,30,0.888933122,0.698492467,1
SwinV2Model,16,0.01,Train,1,2.193458747,0.342274666,0
SwinV2Model,16,0.01,Validation,1,1.665220607,0.381909549,0
SwinV2Model,16,0.01,Train,2,1.778805006,0.423819751,0
SwinV2Model,16,0.01,Validation,2,1.809564121,0.386934668,1
SwinV2Model,16,0.01,Train,3,1.506545039,0.496781111,1
SwinV2Model,16,0.01,Validation,3,1.536822046,0.407035172,0
SwinV2Model,16,0.01,Train,4,1.42550522,0.535407722,0
SwinV2Model,16,0.01,Validation,4,1.64344192,0.55276382,1
SwinV2Model,16,0.01,Train,5,1.519412672,0.528969944,1
SwinV2Model,16,0.01,Validation,5,1.543570027,0.477386922,2
SwinV2Model,16,0.01,Train,6,1.141782911,0.593347609,2
SwinV2Model,16,0.01,Validation,6,0.956507099,0.633165836,0
SwinV2Model,16,0.01,Train,7,0.967040293,0.637339056,0
SwinV2Model,16,0.01,Validation,7,0.926331113,0.638190925,0
SwinV2Model,16,0.01,Train,8,0.938719784,0.644849777,0
SwinV2Model,16,0.01,Validation,8,0.934736412,0.623115599,1
SwinV2Model,16,0.01,Train,9,0.9108548,0.646995723,1
SwinV2Model,16,0.01,Validation,9,0.916076152,0.643216074,0
SwinV2Model,16,0.01,Train,10,0.927036657,0.650214612,0
SwinV2Model,16,0.01,Validation,10,0.900319626,0.673366845,0
SwinV2Model,16,0.01,Train,11,0.899397503,0.668454945,0
SwinV2Model,16,0.01,Validation,11,0.895167218,0.658291459,0
SwinV2Model,16,0.01,Train,12,0.870904654,0.64592272,0
SwinV2Model,16,0.01,Validation,12,0.889482514,0.658291459,0
SwinV2Model,16,0.01,Train,13,0.855753175,0.667382002,0
SwinV2Model,16,0.01,Validation,13,0.896018059,0.673366845,1
SwinV2Model,16,0.01,Train,14,0.895483961,0.670600832,1
SwinV2Model,16,0.01,Validation,14,0.895237166,0.653266311,2
SwinV2Model,16,0.01,Train,15,0.873078042,0.670600832,2
SwinV2Model,16,0.01,Validation,15,0.889940694,0.663316548,3
SwinV2Model,16,0.01,Train,16,0.86335815,0.672746778,3
SwinV2Model,16,0.01,Validation,16,0.89003032,0.663316548,4
SwinV2Model,16,0.01,Train,17,0.882163298,0.667382002,4
SwinV2Model,16,0.01,Validation,17,0.890533109,0.673366845,5
SwinV2Model,16,0.01,Train,18,0.883514392,0.66309011,5
SwinV2Model,16,0.01,Validation,18,0.890253884,0.668341696,6
SwinV2Model,32,0.01,Train,1,2.10100331,0.284334749,0
SwinV2Model,32,0.01,Validation,1,1.85652262,0.376884431,0
SwinV2Model,32,0.01,Train,2,1.644919661,0.451716751,0
